brand,year,km_driven,fuel,price
Maruti,2025,210510,Petrol,1577233
Honda,2010,165975,CNG,1980503
Honda,2017,121361,Diesel,240692
Renault,2022,215734,Petrol,439711
Mahindra,2023,154690,CNG,327196
Maruti,2015,97111,Electric,911650
Mahindra,2011,39983,Diesel,1044664
Renault,2012,208154,CNG,1683127
Honda,2009,176114,Petrol,1257448
Hyundai,2009,203591,Electric,1133476
Nissan,2019,82289,Electric,730247
Mahindra,2025,145808,Electric,786647
Hyundai,2014,235272,CNG,674494
Ford,2011,163504,Petrol,1801456
Ford,2019,167629,Electric,933137
Mahindra,2008,199084,Diesel,1392363
Maruti,2008,166975,Diesel,254036
Toyota,2014,144607,Petrol,182225
Maruti,2025,106055,CNG,1154702
Kia,2012,36408,CNG,409776
Honda,2013,96408,Petrol,456388
Maruti,2008,112527,Electric,331260
Toyota,2018,121419,Diesel,1548885
Toyota,2023,72542,Electric,1488460
Tata,2010,173452,Petrol,1016951
Renault,2008,102619,Electric,1225757
Renault,2013,97950,CNG,910860
Hyundai,2018,164233,CNG,740013
Kia,2025,49108,Electric,1068696
Renault,2013,64939,Petrol,1164268
Mahindra,2008,204280,CNG,583599
Hyundai,2020,129762,Petrol,488485
Honda,2010,95215,Diesel,799904
Toyota,2024,139936,Electric,971865
Tata,2009,208191,Diesel,1991740
Hyundai,2020,7480,CNG,677987
Mahindra,2009,17926,Diesel,401300
Renault,2023,152804,CNG,1137328
Tata,2022,20697,CNG,1971657
Nissan,2023,35987,CNG,1113652
Hyundai,2014,40705,Petrol,1865564
Mahindra,2009,198592,Petrol,624621
Tata,2018,230194,Electric,462071
Mahindra,2015,149045,Electric,855008
Ford,2006,239286,CNG,1995487
Kia,2022,212193,Diesel,1372066
Nissan,2017,62550,Electric,274151
Nissan,2024,150101,Electric,1294344
Nissan,2019,217060,CNG,1154344
Maruti,2019,215915,CNG,940849
Kia,2008,37342,CNG,214455
Tata,2011,211974,CNG,1381135
Honda,2025,29560,CNG,220956
Toyota,2023,202313,Petrol,1285721
Nissan,2023,210586,Petrol,666220
Mahindra,2014,52381,Electric,1893968
Maruti,2020,176108,Diesel,706594
Honda,2010,101800,Electric,1727508
Honda,2011,49955,Diesel,1515425
Kia,2011,244054,Petrol,1927091
Maruti,2012,227813,Electric,745769
Kia,2013,67881,Electric,1696206
Toyota,2016,143762,Diesel,1286737
Renault,2017,10641,Electric,1985775
Nissan,2006,234852,Petrol,1339170
Hyundai,2023,120982,Petrol,1133113
Maruti,2006,217901,Petrol,1055718
Toyota,2025,141640,Petrol,629598
Hyundai,2008,187206,Diesel,769942
Maruti,2021,56971,Electric,1972311
Nissan,2022,26808,Electric,130025
Honda,2015,95870,Diesel,1945356
Ford,2006,42614,CNG,249969
Kia,2009,244769,Diesel,863329
Honda,2011,185660,Diesel,797608
Toyota,2025,160378,CNG,1979547
Nissan,2007,6948,Electric,1338635
Ford,2007,47340,Diesel,1792540
Mahindra,2013,238028,CNG,1181130
Maruti,2018,64412,Diesel,835751
Renault,2011,249699,Petrol,1251996
Ford,2014,9102,Diesel,323932
Toyota,2020,100855,Diesel,673534
Honda,2009,179315,Diesel,961135
Maruti,2006,203955,Electric,609704
Mahindra,2006,52245,Electric,480738
Renault,2011,102532,CNG,1426796
Maruti,2016,189099,Electric,1929096
Ford,2025,67856,Electric,1017314
Renault,2021,151564,Diesel,989224
Honda,2013,182250,Petrol,1861705
Maruti,2021,188858,Petrol,1678923
Tata,2007,243431,Petrol,1234685
Renault,2005,200310,CNG,1596407
Honda,2024,151592,Electric,985239
Mahindra,2025,64705,Electric,1956901
Kia,2014,185644,Diesel,1281905
Kia,2012,93850,CNG,1739931
Nissan,2016,80909,Electric,517310
Honda,2017,165728,CNG,161142
Nissan,2020,149054,Diesel,663548
Honda,2022,169991,Electric,698277
Maruti,2022,38488,Electric,1280192
Ford,2013,18150,Electric,1079958
Ford,2012,9519,Electric,611077
Kia,2016,214913,Diesel,1391200
Tata,2017,82822,CNG,775945
Kia,2005,153302,Petrol,1652577
Tata,2023,223990,Electric,965900
Hyundai,2016,71156,CNG,900902
Honda,2014,54296,Electric,1185508
Honda,2017,206959,CNG,1014789
Renault,2016,88343,Diesel,1630124
Renault,2017,13222,Petrol,317673
Maruti,2012,194342,Diesel,416732
Toyota,2021,162450,CNG,1526069
Nissan,2024,6660,Diesel,1375114
Hyundai,2005,90851,Diesel,1485127
Mahindra,2020,135055,Diesel,358212
Ford,2016,223678,Petrol,923082
Honda,2012,26689,CNG,1684962
Mahindra,2014,194000,Diesel,1908761
Maruti,2024,180582,CNG,198813
Toyota,2021,45406,Petrol,1549417
Toyota,2010,155665,Electric,1313284
Honda,2013,71571,Electric,212997
Mahindra,2015,21882,CNG,1034441
Mahindra,2014,28622,CNG,945190
Hyundai,2025,108697,Petrol,100715
Hyundai,2024,147586,CNG,1230130
Nissan,2016,91131,Petrol,541161
Renault,2009,237090,Petrol,1732244
Renault,2011,150598,Electric,1228846
Ford,2024,170131,Petrol,796684
Maruti,2017,60289,Electric,716166
Honda,2019,195461,Petrol,564677
Hyundai,2013,182249,Diesel,518166
Tata,2024,226731,Diesel,1711671
Kia,2005,54791,Diesel,409726
Ford,2024,155852,Electric,568040
Tata,2019,10993,Diesel,559125
Kia,2010,243714,CNG,584315
Honda,2010,236815,Diesel,279013
Tata,2010,186045,CNG,367069
Honda,2015,72863,Electric,1927310
Toyota,2005,180819,CNG,1366844
Maruti,2024,245051,Electric,253580
Renault,2025,180219,CNG,845058
Maruti,2005,170558,Petrol,438302
Kia,2015,234478,Diesel,1368002
Renault,2020,99436,Petrol,302687
Toyota,2010,15759,CNG,495835
Nissan,2015,202396,Diesel,779223
Toyota,2022,153354,Petrol,255509
Hyundai,2025,113992,Petrol,1915858
Ford,2010,78298,Diesel,1703538
Maruti,2007,238976,Diesel,979753
Kia,2016,56083,Electric,198045
Tata,2024,178644,Diesel,675497
Renault,2012,56447,Diesel,251414
Honda,2022,211590,CNG,443484
Renault,2017,58288,Diesel,1851635
Renault,2015,104215,Electric,1204612
Tata,2006,244474,Petrol,1004761
Tata,2019,20776,Diesel,968765
Hyundai,2015,40204,Electric,1769348
Mahindra,2017,244262,CNG,1384792
Toyota,2024,107686,Electric,623903
Tata,2005,175975,CNG,333879
Ford,2008,178886,Diesel,1124740
Nissan,2010,57959,Diesel,801707
Maruti,2006,22989,Electric,1142637
Renault,2019,165400,CNG,1901273
Mahindra,2013,89573,Diesel,361868
Honda,2009,58780,CNG,599758
Honda,2019,226808,Petrol,916337
Honda,2023,198370,Diesel,251717
Nissan,2018,83728,Diesel,672603
Honda,2009,68450,Diesel,1690909
Mahindra,2014,85326,Diesel,1882891
Maruti,2015,175035,Electric,1681634
Honda,2019,202009,Petrol,1548889
Kia,2025,148043,Electric,1004582
Hyundai,2006,24929,Petrol,1491040
Renault,2013,116136,CNG,833478
Renault,2009,26150,CNG,115609
Maruti,2018,117120,CNG,1646092
Ford,2005,192970,Diesel,1206117
Tata,2015,165121,Electric,805499
Toyota,2017,11210,Petrol,1950634
Hyundai,2013,237549,Petrol,1582408
Nissan,2018,5033,Petrol,1678033
Honda,2007,51281,Diesel,1946523
Tata,2015,206445,CNG,796429
Tata,2017,199190,Electric,1981993
Maruti,2021,127091,CNG,512397
Renault,2011,228455,CNG,1401455
Kia,2016,74126,Electric,1663546
Nissan,2020,119530,Diesel,758347
Kia,2020,133393,Electric,1324125
Hyundai,2025,245392,Electric,881198
Nissan,2020,120238,CNG,281614
Nissan,2017,37365,CNG,770715
Hyundai,2023,48131,Electric,209893
Ford,2025,206204,Diesel,1376782
Maruti,2019,10794,CNG,465154
Mahindra,2015,109295,Electric,1892282
Renault,2017,188440,Electric,1855350
Ford,2023,20854,Electric,1816836
Hyundai,2023,11826,CNG,935740
Hyundai,2007,61332,CNG,1872557
Toyota,2019,123498,Electric,1821998
Maruti,2020,149383,Electric,961581
Honda,2016,57753,Electric,974558
Renault,2015,20362,Diesel,828533
Renault,2008,14518,Electric,1996264
Tata,2006,147099,Diesel,1244564
Hyundai,2007,51098,Diesel,966193
Nissan,2014,120765,Electric,404123
Hyundai,2014,98461,Diesel,1607720
Maruti,2006,98888,Diesel,1535999
Nissan,2023,43097,Petrol,602704
Honda,2006,246801,Diesel,1882989
Renault,2018,114833,Petrol,177485
Renault,2021,120293,Petrol,480749
Maruti,2019,126972,Diesel,894390
Hyundai,2007,192740,Diesel,788926
Mahindra,2022,112631,CNG,1890002
Honda,2020,192407,CNG,142843
Nissan,2007,167307,CNG,225639
Toyota,2005,20678,CNG,1235494
Honda,2021,61390,CNG,1321514
Nissan,2008,178951,CNG,401234
Ford,2007,106685,Electric,1863871
Kia,2013,174794,Electric,115322
Kia,2021,132773,CNG,200899
Maruti,2011,117129,Diesel,1122174
Ford,2008,110384,Diesel,1030267
Tata,2016,51716,Electric,1951030
Ford,2017,226170,CNG,1150181
Mahindra,2019,170342,Diesel,855176
Honda,2025,94318,Electric,431159
Hyundai,2015,190953,Petrol,1371997
Tata,2017,156785,Diesel,129140
Ford,2021,181890,Diesel,1178978
Nissan,2007,93790,Petrol,1790287
Maruti,2010,111723,CNG,1652043
Kia,2010,101751,CNG,1184677
Ford,2008,154861,Electric,237611
Tata,2024,210492,Electric,1958479
Nissan,2007,123006,Electric,1151031
Tata,2009,105858,Petrol,806032
Ford,2022,87420,CNG,1608619
Maruti,2024,227159,Petrol,1436733
Mahindra,2021,243296,Diesel,848997
